C005	A007
C006	A013
C008	A010
C009	A014
C010	A009
C020	A015
C022	A023
C024	A012
C025	A065
C027	A074
C034	A004
C037	A049
C038	A040
C039	A034
C041	A080
C042	A006
C043	A056
C044	A038
C045	A061
C046	A018
C047	A081
C048	A057
C049	A069
C050	A037
C051	A071
C052	A050
C053	A042
C054	A019
C055	A031
C057	A020
C058	A021
C059	A028
C060	A030
C061	A043
C075	A046
C076	A027
E008	A206
E009	A202
E010	A207
