C001	A036
C002	A047
C003	A059
C004	A008
C012	A029
C013	A073
C016	A016
C026	A032
C028	A017
C062	A062
C064	A003
C065	A024
C066	A082
C067	A058
C068	A072
C069	A051
C070	A045
