C001	A036
C021	A039
C038	A040
C044	A038
C050	A037
C053	A042
C056	A041
C061	A043
C063	A044
C070	A045
C075	A046
C078	A035
E001	A205
E005	A209
E008	A206
E010	A207
E011	A208
